time,x,y,theta_deg
6.050000000000001,0.18236709,22.954813,-25.670425
6.1000000000000005,1.8519379,22.177275,-26.448927
6.15,3.5046492,21.372574,-27.35354
6.2,5.1432853,20.540752,-28.362602
6.25,6.7757106,19.682003,-29.609697
6.300000000000001,8.40281,18.796446,-31.20437
6.3500000000000005,10.022377,17.884136,-33.21383
6.4,11.625863,16.945024,-35.580566
6.45,13.217144,15.97923,-38.126205
6.5,14.787521,14.987109,-40.91291
6.550000000000001,16.335964,13.969215,-43.89094
6.6000000000000005,17.86222,12.926425,-47.04739
6.65,19.367191,11.860716,-50.35179
6.7,20.85506,10.776583,-53.558094
6.75,22.325304,9.679531,-56.555134
6.800000000000001,23.775614,8.5656595,-59.19972
6.8500000000000005,25.203308,7.4311166,-61.450718
6.9,26.607311,6.274544,-63.365685
6.95,27.986765,5.095007,-65.00456
7.0,29.341389,3.892468,-66.365234
7.050000000000001,30.671824,2.6676564,-67.41925
7.1000000000000005,31.978443,1.4214392,-68.19163
7.15,33.26354,0.15524006,-68.865265
7.2,34.530155,-1.1308056,-69.61874
7.25,35.7807,-2.43764,-70.486084
7.300000000000001,37.011505,-3.76711,-71.29282
7.3500000000000005,38.22185,-5.119446,-71.91554
7.4,39.411545,-6.494533,-72.28268
7.45,40.580208,-7.892619,-72.47939
7.5,41.72785,-9.313882,-72.535416
7.550000000000001,42.85447,-10.758497,-72.44531
7.6000000000000005,43.95951,-12.226981,-72.21967
7.65,45.042778,-13.719586,-71.87973
7.7,46.104675,-15.236152,-71.45351
7.75,47.146122,-16.77647,-70.96454
7.800000000000001,48.169,-18.340075,-70.42265
7.8500000000000005,49.17437,-19.926168,-69.83739
7.9,50.162243,-21.534317,-69.16178
7.95,51.130566,-23.165142,-68.242004
8.0,52.078564,-24.818176,-67.107254
8.05,53.003674,-26.49419,-65.87769
8.1,53.90466,-28.192762,-64.524284
8.15,54.78079,-29.91306,-63.12703
8.200000000000001,55.63169,-31.65398,-61.71189
8.25,56.45711,-33.414185,-60.28436
8.3,57.256992,-35.192085,-58.759705
8.35,58.031376,-36.986065,-57.01325
8.4,58.780327,-38.797165,-54.93001
8.450000000000001,59.503742,-40.6277,-52.43435
8.5,60.201874,-42.47796,-49.44383
8.55,60.875023,-44.347652,-45.870667
8.6,61.52314,-46.238228,-41.72832
8.65,62.14588,-48.150692,-37.087406
8.700000000000001,62.74311,-50.08549,-32.378304
8.75,63.31514,-52.04279,-27.695337
8.8,63.862656,-54.02256,-23.10946
8.85,64.385216,-56.02464,-18.614704
8.9,64.88228,-58.048977,-14.201544
8.950000000000001,65.35363,-60.094955,-9.855447
9.0,65.799095,-62.161972,-5.5619855
9.05,66.21852,-64.249374,-1.3085289
